Case Number,Short Description Summary,Trend Category,Sub-Category,Confidence,Reasoning,Manual Review Required
CS1618920,Admission Summary not working,Defects & Errors,Application Defect,Medium,"Case reports application defect, scanning blank pages, or functional error.",No
CS1618927,New patients not coming in from PAS to Symphony,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1619081,ODS Update (TRUD),Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1619318,Symphony interface down Sunday 20th July 2025,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1620938,EIE/DAD restart,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1622680,Unable to book into virtual physio clinic through discharge,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1624113,DAD outbound messages queued,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1624173,SLOW INTERFACE ISSUE,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1624266,School DEP,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1624455,Users are unable to add pead patients data through the dashboard,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1625056,FW: Subject Access Request  ZK,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1625249,lack or responsiveness of the System,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1625256,BRM grey Team,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1625343,GP update,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1625386,Server performance and failing jobs,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1625427,Report of patients accessed by a specific staff member,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1625481,Corrupt DEP's,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1625575,FW: Unable to log onto training environment of Symphony,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1625600,Error when opening Staff Users,Defects & Errors,Application Defect,Medium,"Case reports application defect, scanning blank pages, or functional error.",No
CS1625661,Hl7 message suspended ipm to Symphony,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1625888,Query,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1625909,Audit when alert was added and by who,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1625980,ECDS Failed,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1626006,Sepsis Dep  in theTest environment,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1626109,CPIS/SCR query,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1626113,Clinic end dates cannot be moved.,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1626303,CPIS/SCR check issues again,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1626456,TTO duplicating comments,Data Management,Data Correction,High,"Case involves database scripts, data corrections, record timestamp fixes, or duplicate text clean-up.",No
CS1626460,Batch GP Printing NHH,Configuration & Administration,Configuration Change,High,"Case involves document output, printer configuration, scanner hardware, forms, or templates.",No
CS1626494,NCIC-AE-ME - Software - Update and or remove JRE 7,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1626621,Should we merge a patient or transfer the episode to a new one?,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1626936,Existing account inaccessible,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1626939,Replication Not Running?,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1626943,New GP Trud version importing into Test Symphony,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1627337,Reports are not capturing all information,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1627665,Audit 25-14 Request,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1627877,Audit request,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1628227,GP connect issues on Windows 11 at Newton Abbot Hospital,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1628394,Locked record on EIE,Defects & Errors,Application Defect,Medium,"Case reports application defect, scanning blank pages, or functional error.",No
CS1628460,One of the patients 7636184 N.J is been deceased on Symphony.,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1628580,Symphony TEST - unable to see discharge docs go to file drop,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1629212,Issue with Further assessment in  Symphony,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1629223,Interface issues unable to scan to Midas,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1629389,Test DEP Config - Duplicate field in front end,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1629631,Symphony batch reporting,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1630293,User report,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1630388,Clinic Missing,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1630452,Access Audit,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1630480,Server question from networks,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1630486,Patient_Details_ExtraFields,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1630610,EIE down locked record,Workflow & Process,Assignment,High,"Case involves task queue routing, checkout zone assignments, or ownership rules.",No
CS1630621,Record stuck in EIE,Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1630868,Messages not passing between ICE Interop and Symphony,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1630887,Generic user can't log on,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1630982,Field disappeared,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1631037,Stuck Messages in DAD Outbound Queue,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1631264,SCR / CPIS,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1631505,CYPED e-Notes,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1631603,Attendance SCR/CPIS check isnt working,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1632045,Patient booked in but delay in showing up on Symphony,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1632072,ED Episode did not go to iPMS (PAS),Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1632191,ODS Update advise,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1632229,TRUD Files,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1632672,Patient Update Message Rejected,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1633263,DAD,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1633351,Symphony - edocs items stuck in the outbound DAD queue,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1633462,Wrong attendance removed,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1633472,Discharged patient still on screen,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1633578,printer settings,Configuration & Administration,Configuration Change,High,"Case involves document output, printer configuration, scanner hardware, forms, or templates.",No
CS1633634,Symphony error on adding specialty,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1633713,Patient showing RIP,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1633770,ED Discharge Failed to send to HL,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1633902,Why are patients being marked as RIP?,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1633919,Can't change password without a password,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1634082,DAD lock - near constant - can you see what/why?,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1634255,User Unable to Log In to Symphony,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1634286,Test environment-TTO dep,Configuration & Administration,System Administration,High,"Case involves server administration, disk space, failover configuration, or background environment setup.",No
CS1634535,User accounts,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1634546,Replication Not Updating,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1634640,Symphony for KCHFT is not working,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1634711,GP Sultan,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1634817,Stuck Messages in DAB Outbound Queue,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1634971,RE: Stuck message in Symphony DAD queue,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1635100,Add another column to SDU Report,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1635104,Reports have been blank for a couple of days,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1635171,Reinstate Routine Clinic,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1635272,backup times,Data Management,Data Correction,High,"Case involves database scripts, data corrections, record timestamp fixes, or duplicate text clean-up.",No
CS1635313,User unable to log in,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1635351,breach data,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1635357,Symphony data issue,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1635414,CS1437675  - discharge HL7 contains 1/1/2200,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1635833,GP letters failed to compile,Defects & Errors,Application Defect,Medium,"Case reports application defect, scanning blank pages, or functional error.",No
CS1635888,Is there an email address to log cases to?,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1636141,ICD-10 Codes - ED Discharging,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1636143,Recent attendance was able to override maximum re-attending time,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1636643,DAD event monitor,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1637108,Test environment- I am trying to change location on test patient 0038939,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1637394,"Clinic slot locked, unable to add patient",Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1637450,I am trying to update a printmask in Symphony but am unable to locate the CHI pa,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1637673,DAD Outbound Queue - SGH ED TimeLine and A04,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1637706,PDS giving an error,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1637795,NEW UTC Department at Cumberland Infirmary Carlisle,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1638069,Symphony > Overseas Status is Blank from iPM v8 > Luton TEST,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1638245,Batch print-to-file GP letters for emailing,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1638254,Synchronization stopped,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1638278,Patient Add and Updates not coming through from CAMIS,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1638739,Merged incorrectly,Data Management,Data Recovery,High,"Case involves record restoration, deleted data recovery, missing e-docs, or record merging.",No
CS1638819,Data cleanup required on GP Directory now upgrade patch fixes are in place.,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1638979,BRM grey Team,Configuration & Administration,Master Data,High,"Case involves master reference data, department/ward lookups, team setup, or site configuration.",No
CS1639141,delete an episode,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1639986,Billing Invoice missing,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1640061,User accounts,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1640105,"logout issue- inactivity set at 2hrs, user inactive locked record  >12hrs",Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1640357,Patients not coming in from IPMS,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1640366,Restart DAD for Symphony messaging,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1642587,ODS/GP Update,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1642757,DAD outbound messages queuing,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1643400,SCR/CPIS attendance (possible performance),Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1643932,Error Message when loading DEP Config,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1644097,Outbound Failure DAD Messague Queue,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1644171,MEOWS,User Guidance & Training,How-To Request,High,"Case involves operational guidance, clinical scoring setup (MEOWS/MAJAX), or usage assistance.",No
CS1644520,DAD outbound messages queued,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1644684,Subject Access Request,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1644865,Issues with DAD,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1645063,Requesting update on CS1598957,Service Requests,New Request,Medium,"Case represents a service request for creation, software quote, or configuration updates.",No
CS1645526,Symphony PDS Error,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1645573,Unable to change path file on SYmphony Test (related to CS1628580),Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1645664,New DEP Flag randomly disappears,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1645897,Printing issues,Configuration & Administration,Configuration Change,High,"Case involves document output, printer configuration, scanner hardware, forms, or templates.",No
CS1645912,Symphony - printing issues on W11 machines when trying to print from ICE,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1645941,*.cymru.nhs.uk certificate due to expire,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1645990,Tracking screen not updating at different machines,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1646102,A31 messages that fail,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1646405,DAD restart,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1646442,Symphony Replication Server not responding,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1646493,Symphony Replication Down,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1646719,Connolly labels not printing automatically,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1646731,DAD outbound messages queued,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1646868,GP Import,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1647034,"User session frozen, unable to triage",Defects & Errors,Application Defect,Medium,"Case reports application defect, scanning blank pages, or functional error.",No
CS1647425,Reinstate consultant's erroneously end dated account,Access & Security,User Access,High,Request to reinstate consultant user account.,No
CS1647580,Updated IP addresses,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1647685,Number of connections to  a Symphony Port for HL7 Messages,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1647822,NEWS2 score showing incorrectly,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1647999,EIE Feed stopped,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1648011,A&E Comm Point Down,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1648114,Symphony DAD message  queue Outbound  failure,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1648499,Server patches - Install date: 23/09/2025,Data Management,Data Correction,High,"Case involves database scripts, data corrections, record timestamp fixes, or duplicate text clean-up.",No
CS1648858,DAD Restart,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1648887,system lag/slow 01:00- 02:00,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1648961,Audit 25-18 Request,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1649123,Audit of who created 2 records,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1649186,Audit Report of Staff Activity,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1649239,Error Message,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1649249,CAS card printing issue,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1649595,Stuck Messages in DAB Outbound Queue.,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1649712,reported this morning unable to save triage GCED-25-042414-1,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1649858,SYMPHONY3-DB01-Low Disk Space,Configuration & Administration,System Administration,High,"Case involves server administration, disk space, failover configuration, or background environment setup.",No
CS1649986,Audit reports only retrieving results up to 2022,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1650129,Symphony Test Interop not working to Bedford Test ICE,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1650156,ECDS File on 09/09/2025 not loaded,Access & Security,User Access,High,"Case requests user access enablement, role assignment, active user list, or account reinstatement.",No
CS1650585,Audit of Patient record,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1650926,Error message upon log in (object variable),Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1650930,Error message upon log in (Component 'vbalIml6.ocx'),Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or account lockout.",No
CS1650989,"BCUHB symphony stalled, 10:10h fail over, now SSRS summary reports incomplete",Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1651269,ED Document Duplicates,Case Administration,Closure Management,Medium,"Case relates to ticket administration, duplicate handling, or closure.",No
CS1651275,Wristband GS1 DCB1077 bar code,Configuration & Administration,Configuration Change,High,"Case involves document output, printer configuration, scanner hardware, forms, or templates.",No
CS1651493,ODS Updates,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1651767,Time Out on SRS reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1651808,Can someone tell me the solution to CS1400432,Defects & Errors,Application Defect,Medium,"Case reports application defect, scanning blank pages, or functional error.",No
CS1651867,CTM Alert,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
CS1651982,Remove name from record,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1651984,Print jobs have disappeared,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1652018,Symphony down database server unavailable.,Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1652191,Request for Patch 14 to be applied to test environment,Configuration & Administration,System Administration,High,"Case involves server administration, disk space, failover configuration, or background environment setup.",No
CS1652757,Patient Alias,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1652784,Remove DOD from Symphony,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS/GP Import) or vendor system dependencies.,No
CS1652823,Stuck messages,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, DAD interface, interop feeds, or message trigger failures.",No
