Trend,Case Number,Priority,State,Account,Product,Short Description,Sys Created On,Resolved At,"TTR (days, hrs, mins)","SLA Business Duration (days, hrs, mins)","SLA Actual Duration (days, hrs, mins)",TTR (Seconds),SLA Business Duration (Seconds),SLA Actual Duration (Seconds),SLA Stage,SLA Start Time,SLA Pause Time,SLA End Time,Assignment Group,Assigned To,Sys Updated On,Sys Updated By,Sys Mod Count,Problem,Description,Close Notes
Audit,CS1663026,4 - Low,Closed,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Symphony,Audit when User last accessed system,03/10/2025 14:22:33,06/10/2025 13:21:03,"2 days, 22 hrs, 58 mins","6 hrs, 58 mins","2 days, 22 hrs, 58 mins",255510.0,25110.0,255510.0,Completed,03/10/2025 14:22:33,,06/10/2025 13:26:10,Acute Care Symphony Support Level 1,Konrad Siddons,06/10/2025 13:26:11,system,11,,"Hi, 
Can an audit be done to see when user MacquarrieD last accessed the Symphony system?
Thanks, Laura","Hello Laura,
 
I'm pleased to let you know that we've found a resolution for your case CS1663026.
 
To resolve this:

We have checked the Staff table entry for user MacquarrieD and the field stf_lastsuccesslogondtime contains NULL.
This would indicate that the user has not logged into Live Symphony since the  field was first introduced.

We therefore checked all users who have logons recorded on the Login_Details table, where the above user is confirmed as not present and the earliest event is for 03/11/21 @ 17:02:15.

This would indicate that user MacquarrieD  has not successfully logged into Live Symphony since at least that date / time.

I hope this helps

Many thanks 
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
Audit,CS1666316,4 - Low,Closed,Children's Health Ireland,Symphony,Audit of symphony users accessing patient demographics,08/10/2025 14:33:36,10/10/2025 12:57:27,"1 day, 22 hrs, 23 mins","14 hrs, 23 mins","1 day, 22 hrs, 23 mins",167031.0,51830.0,167030.0,Completed,08/10/2025 14:33:36,,24/10/2025 12:59:26,Acute Care Symphony Support Level 1,Konrad Siddons,24/10/2025 12:59:28,system,14,,"can we get an audit trail of all symphony users who access certain patients.

H01749248 
H01466992 
H01384038 

The time frame we are looking for is 01/07/2025 - 25/09/2025.

Can this be done?

Thanks Adrian","Hello Adrian,
 
I'm pleased to let you know that we've found a resolution for your case CS1666316.
 
To resolve this:

We have interrogated the Symphony Audit tables on the Live Symphony database.
We have been unable to find any evidence therein of the Patient Demographics data for the 3 specified patients having been viewed by user(s) for the period 01/07/25 to 25/09/25 inclusive.

I hope this helps.

Many thanks
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
Audit,CS1667460,4 - Low,Closed,Northern Lincolnshire And Goole NHS Foundation Trust,Symphony,User ID,09/10/2025 16:34:59,10/10/2025 14:06:39,"21 hrs, 31 mins","9 hrs, 31 mins","21 hrs, 31 mins",77500.0,34300.0,77500.0,Completed,09/10/2025 16:34:59,,17/10/2025 15:18:12,Acute Care Symphony Support Level 1,Konrad Siddons,17/10/2025 15:18:12,Joanne.hancock@nhs.net,6,,"Hi, please could you confirm, if we can amend userid names does this any impact any previous activity and user audit?","Hello Joanne,
 
I'm pleased to let you know that we've found a resolution for your case CS1667460.
 
To resolve this, please follow these steps:


Assuming the system allows you to change the LogonID for a given user, (use of Active Directory can prevent this  for example), provided the corresponding STAFF table entry remains for the same individual, there should be no issue.
Likewise if the User's name is changed (for example after marriage etc), the same should be the case.

The system records the STAFF Table record ID against any data or transactions associated with the given user, rather than their name or LogonID, so that will remain unchanged for any historical data and carry forward as the STAFF Table entry remains in use on an ongoing bases.

I hope this helps.

Many thanks
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
Audit,CS1670198,4 - Low,Closed,South Tees Hospitals NHS Foundation Trust,Symphony,Access to Patient record,15/10/2025 08:54:28,17/10/2025 13:55:12,"2 days, 5 hrs","20 hrs, 30 mins","2 days, 4 hrs, 36 mins",190844.0,73840.0,189372.0,Completed,15/10/2025 08:54:28,,21/10/2025 10:31:46,Acute Care Symphony Support Level 1,Konrad Siddons,21/10/2025 10:31:48,system,16,,"Hello

Would it be possible to provide audit details of who accessed the record and any attendances for patient D720189, between 20/11/2024 and 14/10/2025.

Thanks

Paul","Hello Paul,

I'm pleased to let you know that we've found a resolution for your case CS1670198.

To resolve this:

Apologies - spreadsheet now attached.

We have interrogated the Symphony audit tables using the following criteria:.

Users who have accessed the eView data for the Patient. - No entries found
Users who viewed Patient Demographic data - No entries found
Users who have searched for the Patient using their District - No entries found
Users who have searched for the Patient using their NHS Number - No entries found
Users who have searched for the Patient using their forename and Surname - No entries found.

Users who have carried out a Patient Search using the Date of Birth of the Patient in question (though these searches may be for other patients) - 4 entries found.

Please find the attached spreadsheet showing details.

I hope this helps

Many thanks

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.

Kind regards,
Konrad"
Audit,CS1672424,4 - Low,Closed,Mid Yorkshire Teaching NHS Trust,Symphony,Audit request - 7716202,17/10/2025 14:55:24,23/10/2025 16:54:26,"6 days, 1 hr, 59 mins","1 day, 9 hrs, 59 mins","6 days, 1 hr, 59 mins",525542.0,122341.0,525541.0,Completed,17/10/2025 14:55:24,,24/10/2025 12:11:15,Acute Care Symphony Support Level 1,Shazad Ishaque,24/10/2025 12:11:16,system,14,,"Can you provide an audit of all staff who have accessed 7716202 records from the 13/10/25 on Symphony please?
Thanks.","Hello Aamir,
 
I'm pleased to let you know that we've found a resolution for your case CS1672424.

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
Audit,CS1675797,4 - Low,Closed,Luton And Dunstable Hospital NHS Foundation Trust,Symphony,Breaches report,23/10/2025 12:32:49,17/02/2026 13:42:14,"117 days, 1 hr, 9 mins","4 days, 18 hrs, 20 mins","10 days, 7 hrs, 20 mins",10112965.0,411637.0,890437.0,Completed,23/10/2025 12:32:49,,03/03/2026 13:43:27,Acute Care Symphony Support Level 1,Gareth Evans,03/03/2026 23:18:11,system,114,,"Hi Support

We have setup an automatic Breach report on e-audit, however it does not state number of hours patients has been in ED
This is a daily report that has been created, how do we add a column to show number of hours
Many thanks
Zak
IT Team","Hi Zakar

I am resolving this case, as the SSRS Breach Report was amended by me to include the Breach reason back in Oct 2025.

If you require any other reports amending, please log a new call , so it can be reviewed as to whether this can be done as a support call or needs to be passed over to the Sales department for a quotation.

Kind Regards
Jackie"
Audit,CS1676292,4 - Low,Closed,Mid Yorkshire Teaching NHS Trust,Symphony,1458724 - Address update audit,24/10/2025 09:16:29,24/10/2025 10:43:28,"1 hr, 26 mins",51 mins,51 mins,5219.0,3078.0,3078.0,Completed,24/10/2025 09:16:29,,24/10/2025 12:10:49,Acute Care Symphony Support Level 1,Konrad Siddons,24/10/2025 12:10:50,system,13,,"There has been an update on 8/9/25 @ 12:04 to this patients address. Please can you audit the member of staff that made this change on Symphony please?
Thanks.","Hello Aamir,

I'm pleased to let you know that we've found a resolution for your case CS1676292.

To resolve this:

We interrogated the Symphony Database files and Audit files and the specified Address change shows as being made by user 'SYMPHONYDADSERVICE'.
We checked the DAD_Eventlogs table and this confirms receipt of A31IB (Patient Details Update) message from CAMIS via the PMI Inbound Service at the time and data specified in this case.

I hope this helps

Many thanks

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.

Kind regards,
Konrad"
Audit,CS1677216,4 - Low,Closed,Bedford Hospital NHS Trust,Symphony,Audit request,27/10/2025 08:55:33,29/10/2025 11:23:38,"2 days, 2 hrs, 28 mins","11 hrs, 55 mins","1 day, 3 hrs, 59 mins",181685.0,42921.0,100788.0,Completed,27/10/2025 08:55:33,,29/10/2025 11:28:00,Acute Care Symphony Support Level 1,Shazad Ishaque,29/10/2025 11:28:02,system,16,,"Hi,

Could I get an audit report for all activity for patient F058837 since 01/01/2018 to present please?

Thank you.

Kind regards,

Kahlil","Hello Kahlil,
 
I'm pleased to let you know that we've found a resolution for your case CS1677216.
 
To resolve this, we provided the requested audit.

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
Audit,CS1677275,3 - Medium,Closed,South Tees Hospitals NHS Foundation Trust,Symphony,Patient Audit - J251591,27/10/2025 09:22:24,27/10/2025 10:45:13,"1 hr, 22 mins",24 mins,24 mins,4969.0,1448.0,1448.0,Completed,27/10/2025 09:22:24,,27/10/2025 10:45:43,Acute Care Symphony Support Level 1,Gareth Evans,27/10/2025 10:45:45,system,16,,"Hello
Would it be possible to provide details of the Symphony users that have access the record for patient J251591 between 01/02/2025 and 31/03/2025?
Thanks
Paul","Hello Paul,
 
Thanks for confirming that we've found a resolution for your case CS1677275.
 
To resolve this, I provided the requested audit.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
Audit,CS1681867,3 - Medium,Closed,South Tees Hospitals NHS Foundation Trust,Symphony,Audit of Patient record access,04/11/2025 09:32:13,05/11/2025 12:52:55,"1 day, 3 hrs, 20 mins","6 hrs, 1 min","6 hrs, 1 min",98442.0,21690.0,21690.0,Completed,04/11/2025 09:32:13,,05/11/2025 13:32:59,Acute Care Symphony Support Level 1,Gareth Evans,05/11/2025 13:33:01,system,16,,"Hello
Is it possible to provide details of which members of staff have access the records and any attendances  for the following patients: D127233, D470844, D485615, J381359?
Thanks
Paul","Hello Paul,
 
Thanks for confirming that we've found a resolution for your case CS1681867.
 
To resolve this, I provided the requested audit
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
Audit,CS1683876,3 - Medium,Closed,Leeds Teaching Hospitals NHS Trust,Symphony,Audit of staff ,06/11/2025 12:47:13,06/11/2025 18:05:06,"5 hrs, 17 mins","5 hrs, 17 mins","5 hrs, 17 mins",19073.0,19073.0,19073.0,Completed,06/11/2025 12:47:13,,20/11/2025 18:05:26,Acute Care Symphony Support Level 1,Shazad Ishaque,20/11/2025 18:05:26,system,11,,A name change has been made on 5567824 can an audit  of the record be completed and supply the full name of the staff member please,"Hello Julie,
 
I'm pleased to let you know that we've found a resolution for your case CS1683876.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
Audit,CS1684555,3 - Medium,Closed,Mid Yorkshire Teaching NHS Trust,Symphony,FW: IG breach,07/11/2025 11:22:50,07/11/2025 16:37:34,"5 hrs, 14 mins","5 hrs, 14 mins","5 hrs, 14 mins",18884.0,18884.0,18884.0,Completed,07/11/2025 11:22:50,,12/11/2025 10:21:31,Acute Care Symphony Support Level 1,Shazad Ishaque,12/11/2025 10:21:34,system,11,,"STOP! Unless you are EXPECTING THIS EMAIL do NOT click on any links, or open any attachments. This may be a phishing email that could compromise our security.

Please can an audit be provided on Symphony for below user please?

Ginette.Walmsley. Records accessed on 13/10/25.

Thanks.

Aamir Maqsud
Digital Systems Manager
The Mid Yorkshire Teaching NHS Trust
Dewsbury & District Hospital
Halifax Road, Dewsbury,
West Yorkshire, WF13 4HS

From: MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <martin.moorhouse1@nhs.net<mailto:martin.moorhouse1@nhs.net>>
Sent: 05 November 2025 13:54
To: CINNAMON, Gareth (MID YORKSHIRE TEACHING NHS TRUST) <gareth.cinnamon@nhs.net<mailto:gareth.cinnamon@nhs.net>>; HORLER, Jason (MID YORKSHIRE TEACHING NHS TRUST) <jason.horler@nhs.net<mailto:jason.horler@nhs.net>>; WALSH, Jackie (MID YORKSHIRE TEACHING NHS TRUST) <jackie.walsh2@nhs.net<mailto:jackie.walsh2@nhs.net>>; MAQSUD, Aamir (MID YORKSHIRE TEACHING NHS TRUST) <aamir.maqsud@nhs.net<mailto:aamir.maqsud@nhs.net>>
Subject: FW: IG breach
Importance: High

Good afternoon all,

Can you run a report on the user below for all patients they accessed on the 13/10/25

Many Thanks

Martin

From: PRECIOUS, Melanie (MID YORKSHIRE TEACHING NHS TRUST) <m.precious@nhs.net<mailto:m.precious@nhs.net>>
Sent: 05 November 2025 11:16
To: MOORHOUSE, Martin (MID YORKSHIRE TEACHING NHS TRUST) <martin.moorhouse1@nhs.net<mailto:martin.moorhouse1@nhs.net>>
Subject: IG breach

Morning Martin,

As discussed, could I please request a report of patient records accessed on 13:10:25 by Ginette Walmsley as part on an ongoing investigation.


Many thanks.

Kind regards
Melanie

Melanie Precious
Clinical Lead, Theatres
Tel: 01924 542140
Mob: 07740021488
Email: m.precious@nhs.net<mailto:m.precious@nhs.net>



************************************************************************************** ******************************

This message may contain confidential information. If you are not the intended recipient please:
i) inform the sender that you have received the message in error before deleting it; and
ii) do not disclose, copy or distribute information in this e-mail or take any action in relation to its content (to do so is strictly prohibited and may be unlawful).
Thank you for your co-operation.

NHS.net Connect is the secure email, collaboration and directory service available for all NHS staff in England. NHS.net Connect is approved for exchanging patient data and other sensitive information with NHS.net Connect and other accredited email services.

For more information and to find out how you can switch visit Joining NHS.net Connect - NHS.net Connect Support<https://urldefense.com/v3/__https://support.nhs.net/article-categories/joining-nhsmail/__;!!IJLR5QJm7ttc!nFcru7QZXumbKiznEqqGodcLKSWyzss2wAnJpw4aMvO8EXFNKx_Lz_JaVG-PoLoqsXWKEh-RYPzTCB-yysVC$>","Hello Aamir,
 
I'm pleased to let you know that we've found a resolution for your case CS1684555.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
Audit,CS1685775,4 - Low,Closed,North West Anglia NHS Foundation Trust,Symphony,Audit 25-21,10/11/2025 15:32:22,12/11/2025 13:15:22,"1 day, 21 hrs, 43 mins","3 hrs, 29 mins","3 hrs, 42 mins",164580.0,12579.0,13356.0,Completed,10/11/2025 15:32:22,,12/11/2025 13:46:46,Acute Care Symphony Support Level 1,Gareth Evans,12/11/2025 13:46:48,system,18,,"Good afternoon,

Please can an audit be completed on patient record DIS0544874. Please audit who has searched for the patient using their name, NHS number or DIS ID, who has accessed the patients eView and any DEPs accessed and finally who has carried out any functions on this patient record.","Hello Donna,
 
I'm pleased to let you know that we've found a resolution for your case CS1685775.
 
To resolve this, I provided the requested audit.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
Audit,CS1686145,4 - Low,Closed,South Tees Hospitals NHS Foundation Trust,Symphony,Patient Access Audit,11/11/2025 10:20:02,12/11/2025 13:29:16,"1 day, 3 hrs, 9 mins","10 hrs, 57 mins","1 day, 2 hrs, 57 mins",97754.0,39449.0,97049.0,Completed,11/11/2025 10:20:02,,12/11/2025 14:20:44,Acute Care Symphony Support Level 1,Konrad Siddons,12/11/2025 14:20:46,system,15,,"Hello
Please could you provide details of the staff that have accessed the record and attendances for patient J570989.
thanks
Paul","Hello Paul,
 
I'm pleased to let you know that we've found a resolution for your case CS1686145.
 
To resolve this, please follow these steps:

We have interrogated the Symphony audit tables.
Please find the attached spreadsheet showing details of users who have accessed data relating to the Patient with District Number J570989, since 01/10/2025.
The spreadsheet contains tabs for:

Users who have accessed the eView data for the Patient. (30 entries found)
Users who have accessed the Demographic data for the Patient. (14 entries found)
Users who have searched for the Patient using their District Number (2 entries found)
Users who have searched for the Patient using their NHS Number (0 entries found)
Users who have carried out a Patient Search using the Date of Birth of the Patient in question (though these searches may be for other patients). (2 entries found)

I hope this helps.

Many thanks
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
Audit,CS1686934,4 - Low,Closed,Western Health and Social Care Trust,Symphony,Staff audit,12/11/2025 09:52:25,17/11/2025 12:58:10,"5 days, 3 hrs, 5 mins","20 hrs, 39 mins","1 day, 8 hrs, 39 mins",443145.0,74367.0,117567.0,Completed,12/11/2025 09:52:25,,24/11/2025 10:44:29,Acute Care Symphony Support Level 1,Konrad Siddons,24/11/2025 10:44:31,system,25,,"Hi, is it possible in this version to run an audit on what users have been accessing the system in the last 6 months? Thanks","
Hello Laura,

I'm pleased to let you know that we've found a resolution for your case CS1686934.

To resolve this:

Please find the attached spreadsheet which contains details of all Users of Symphony who have logged into the Live system since 01/05/25, as requested.

Many thanks

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further

Now replaced by CS1689583

Kind regards,
Konrad"
