Case Number,Short Description Summary,Trend Category,Sub-Category,Confidence,Reasoning,Manual Review Required
CS1615307,EDI Medecator import support,Configuration & Administration,System Administration,Medium,Matched token 'setting' among multiple possible matches.,No
CS1615371,Live Event Engine - Monitoring,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1615460,Pre-pack or TTO labels,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1615828,Invoice passed stuck in exception,Defects & Errors,Error Messages,Medium,Matched token 'exception' among multiple possible matches.,No
CS1615872,Add MDS as an item with a cost of £0.00,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1615874,"EMIS Pharmacy went down sudenly @ 14:30hrs, can you see a reason why?",Performance & Availability,Availability,High,Matched token 'down' in text.,No
CS1616158,Urgent - performance issues,Performance & Availability,Performance,Medium,Matched token 'unrespons' among multiple possible matches.,No
CS1616455,Business Continuty devices not reporting following SQL hotfix,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1617195,Pricing issues,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1617700,Nurse supply request didn't appear on NSR worklist,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1617707,dispensing over ride,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1617860,Email Alert - Queue has exceeded 100 messages,Notifications & Communications,Email,Medium,Matched token 'email' among multiple possible matches.,No
CS1617989,Unable to dispense on Standalone app on PC HIS531333,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1618193,Remove terminal from robot database - follow on from CS1618105,Performance & Availability,Performance,Medium,Matched token 'slow' among multiple possible matches.,No
CS1618406,Email- Queue has exceeded 100 messages,Notifications & Communications,Email,High,Matched token 'email' in text.,No
CS1618423,No direction and product name on the label,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1618518,Removal of overdue dose prompt,Notifications & Communications,Email,High,Matched token 'email' in text.,No
CS1618520,EMIS SPEED AND LOG ON,Performance & Availability,Performance,Medium,Matched token 'slow' among multiple possible matches.,No
CS1618535,DSS request not loading,Service Requests,New Request,Medium,Matched token 'request' among multiple possible matches.,No
CS1618542,Ascribe databases old server,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1618617,unable to add new product,Configuration & Administration,System Administration,High,Matched token 'setting' in text.,No
CS1618631,Unable to change and then save changes to stock lists,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1618726,Add device to robot database,Integration & Interfaces,Third-Party Systems,Medium,Matched token 'robot' among multiple possible matches.,No
CS1618822,TIE Out Transmit Queue has exceeded 100 messages,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1618842,Missing information,Service Requests,Information Request,High,Matched token 'information' in text.,No
CS1618845,Unsure if new product request form via Data Service Update has been received,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1618898,(on call) EIE feed,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1619073,TGH-EPMA-SQL Interface - No Activity For Over 30 minutes,Integration & Interfaces,Integration Failure,Medium,Matched token 'interface' among multiple possible matches.,No
CS1619380,Removal of overdue dose prompts,Notifications & Communications,Email,High,Matched token 'email' in text.,No
CS1619635,Patient not appearing when searching,Service Requests,Information Request,High,Matched token 'information' in text.,No
CS1619657,Reprint Files,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1619690,Copy of product DVT560M not saving,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1620095,Unable to add drug from master file,Case Administration,Closure Management,High,Matched token 'cancel' in text.,No
CS1620128,Incorrect link in Penicillin Allergy,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1620148,Message when discontinuing medication,Configuration & Administration,System Administration,High,Matched token 'setting' in text.,No
CS1620247,Print History not loading,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1620344,Unable to log into old EMIS software,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1620919,I have some business continuity laptops that aren't logging in to standalone ascribe.,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1620948,SQL Server Reports Issue generating outstanding order reports,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1621020,LIVE 10.21 - BD Robot Query in regards to New PIC-Lite PC,Configuration & Administration,System Administration,Medium,Matched token 'setting' among multiple possible matches.,No
CS1621121,Penicillamine/penicillin view order in alergy list,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1621315,Patient showing in clinical desktop when discharged,Service Requests,New Request,Medium,Matched token 'request' among multiple possible matches.,No
CS1621435,PIC Ready in Testing,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1621560,Plastic bottle 32ml & 66ml,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1621821,Old Lloyds store,Reporting & Analytics,Reporting,High,Matched token 'report' in text.,No
CS1622050,A number of staff and areas are reporting logon performance issues,Access & Security,Authentication,Medium,Matched token 'login' among multiple possible matches.,No
CS1622137,Ascribe Smartclient BAT File,Notifications & Communications,Alerts,High,Matched token 'alert' in text.,No
CS1622519,RE: Cloud Migration - Ascribe IE Connectivity and mTLS support,Integration & Interfaces,Integration Failure,Medium,Matched token 'integration' among multiple possible matches.,No
CS1622546,Supply Request from Pharmacy Completed not updated,Service Requests,New Request,High,Matched token 'request' in text.,No
CS1622553,Appointment episodes not coming through to EMIS from PAS.,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1622572,Stuck line on clinical checking desktop,Workflow & Process,Workflow Issue,High,Matched token 'stuck' in text.,No
CS1622804,Unable to access perscribing,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1622813,Contracts not terminating,Data Management,Data Recovery,High,Matched token 'deleted' in text.,No
CS1622895,Losses and Gains,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1622906,Increase characters in the Comments freetext box to 1000 characters,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1622978,Stock Takes,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1623088,Order raised - visible on logview but hasn't created an order to book in,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1623518,Missing items,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1623540,Incorrect display of patient on eMM Clinical Checking list,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1623667,Unable to save supplier after editing,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1623872,Sever alert errors,Access & Security,User Access,Medium,Matched token 'permission' among multiple possible matches.,No
CS1623875,PAS Interface,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1623967,[The job failed.] SQL Server Job System: 'ASC_BI_Pharmacy_Overnight_Job',Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1624079,Request to re-open PRB0052508,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1624090,Orders,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1624118,Price amend for NSV-DVU779J,Service Requests,New Request,High,Matched token 'request' in text.,No
CS1624153,TIE Out Transmit Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1624279,Live 10.21 - Duplicate Order Number for Two different order types,Data Management,Data Correction,Medium,Matched token 'duplicate' among multiple possible matches.,No
CS1624287,Transferring information from Emis to Pyxis,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1624297,multifactor authentication,Access & Security,Authentication,High,Matched token 'mfa' in text.,No
CS1624372,new Asset,Configuration & Administration,System Administration,Medium,Matched token 'setting' among multiple possible matches.,No
CS1624446,Fw: Case CS1618865 solution proposed - Reminder,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1624536,certificate expiring,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1624547,Terminal not connected,Integration & Interfaces,Third-Party Systems,Medium,Matched token 'robot' among multiple possible matches.,No
CS1624626,eMM dispensing site showing medication from all episodes,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1624668,FW: SSMS Update required - urgent,Access & Security,Authentication,Medium,Matched token 'login' among multiple possible matches.,No
CS1624684,unable to save product editor,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1624715,East Lancashire (130011) InboundMessage Queue has exceeded 100 messages,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1624805,HTML Not Displaying After Awhile,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1624875,10.23 Testing and Training environment issues.,Access & Security,Authentication,Medium,Matched token 'password' among multiple possible matches.,No
CS1624877,Inbound Message Queue has exceeded 100 messages,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1624901,RE: Rifinah 300/150 caps,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1624954,DMD codes,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1625014,Duplicate lines,Data Management,Data Correction,High,Matched token 'duplicate' in text.,No
CS1625151,Process Expired Items Engine keeps failing,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1625210,Berkshire daily check,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1625348,Robot Link for new PC,Integration & Interfaces,Third-Party Systems,High,Matched token 'robot' in text.,No
CS1625353,Berkshire Daily check,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1625435,LIVE 10.21 - S02-Pharmdb01 D Drive Full,Data Management,Data Recovery,Medium,Matched token 'deleted' among multiple possible matches.,No
CS1625476,Building BC Laptop on pure Entra Win 11,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1625660,[The job failed.] SQL Server Job System: 'ASC_BI_Pharmacy_Overnight_Job',Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1625730,Genfin export not working,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1625736,Can you please overwrite a locked patient. The user was editing Pregabalin,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1625902,Terminal Robot Connection,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1626009,Stock take,Access & Security,Audit & Compliance,Medium,Matched token 'audit' among multiple possible matches.,No
CS1626027,[The job failed.] SQL Server Job System: 'ASC_BI_Pharmacy_Overnight_Job',Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1626095,TIE Out Transmit Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1626331,EPMA running exceptionally slowly,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1626475,Cannot proceed in DSS drug definition request,Service Requests,New Request,Medium,Matched token 'request' among multiple possible matches.,No
CS1626547,Oxycodone stock level issue,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1626617,windows 11 roll out,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1626728,Genfin,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1626915,Fw: Case CS1624536 solution proposed - Reminder,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1626980,HL7 messages to ePMA Test,Integration & Interfaces,Integration Failure,Medium,Matched token 'interface' among multiple possible matches.,No
CS1626991,Amend supplier details,Service Requests,Information Request,High,Matched token 'information' in text.,No
CS1626996,Performance Issues on Pharmacy Ascribe System between 5pm and 7pm,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1627092,Data not refreshing,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1627105,GL Genfin Report,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1627240,The PAS interface has stopped and messages are queuing,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1627329,TIE/EIE interface,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1627344,LIVE 10.21 - Issue with External Printing - PDF,Performance & Availability,Performance,Medium,Matched token 'timeout' among multiple possible matches.,No
CS1627383,Patient Labels,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1627409,Question: Tasks,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1627424,Pharmacy Finance issues,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1627591,Prescriptions Not Showing on Dispensary Desktop,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1627642,TIE Out Transmit Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1627683,ePMA Training server unable to run drug run - Causing critical errors,Access & Security,Authentication,Medium,Matched token 'login' among multiple possible matches.,No
CS1627723,Order Reprints Error,Defects & Errors,Error Messages,High,Matched token 'error' in text.,No
CS1627908,Medication locked by user,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1628196,New Assets,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1628226,Interface connection down,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1628439,Stock take,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1628615,MSSQL temp drive full,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1628736,Order Set only saving as transcription,Access & Security,User Access,Medium,Matched token 'permission' among multiple possible matches.,No
CS1628807,Restart PAS interface,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1628931,Outstanding batch numbers.,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1629071,Email-inboundMessage Queue has exceeded,Workflow & Process,Workflow Issue,Medium,Matched token 'stuck' among multiple possible matches.,No
CS1629087,Lock drug (Lantus) for a patient in Laurel ward.,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1629094,Two invoices showing in month '202601',Access & Security,Audit & Compliance,Medium,Matched token 'audit' among multiple possible matches.,No
CS1629105,Missing snapshot dates from Stock Valuation Report and Summary,Reporting & Analytics,Reporting,High,Matched token 'report' in text.,No
CS1629231,New Hospital Numbers,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1629341,Unable to Edit supplier,Defects & Errors,Error Messages,High,Matched token 'error' in text.,No
CS1629348,System.Int32 error,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1629363,EMIS Certificate,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1629380,System concurrent users - log in times etc,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1629416,Pharmacy system slow,Performance & Availability,Performance,High,Matched token 'slow' in text.,No
CS1629431,PSO to be deleted,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1629594,invoices stuck in exception,Defects & Errors,Error Messages,Medium,Matched token 'exception' among multiple possible matches.,No
CS1629762,Invoice reconciled not uploaded to GENFIN,Defects & Errors,Error Messages,Medium,Matched token 'exception' among multiple possible matches.,No
CS1629771,stuck In exception.,Defects & Errors,Error Messages,Medium,Matched token 'exception' among multiple possible matches.,No
CS1629776,Report not running on a Wednesday again,Configuration & Administration,Configuration Change,Medium,Matched token 'config' among multiple possible matches.,No
CS1629798,TIE Out Transmit Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1629850,Changing Passwords for AscribeSupport and AscribeService accounts,Access & Security,User Access,Medium,Matched token 'permission' among multiple possible matches.,No
CS1629893,Ward location not printing delivery notes,Performance & Availability,Availability,Medium,Matched token 'not available' among multiple possible matches.,No
CS1629969,Remove / cancel discharge from the discharge list without discharging patient.,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1629990,Cursor issue leading to issues and errors.,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1629997,Release notes for 10.23,Performance & Availability,Availability,High,Matched token 'down' in text.,No
CS1630033,Win 11 Compatibility,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1630067,Log file viewer  / PMR issue.,Defects & Errors,Error Messages,Medium,Matched token 'error' among multiple possible matches.,No
CS1630106,TIE Out Transmit Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1630192,Processing invoices,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1630201,HRI Stores Pharmacy supplier editor (680),Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1630303,[The job failed.] SQL Server Job System: 'ePMA Reporting 10.22',Reporting & Analytics,Reporting,High,Matched token 'report' in text.,No
CS1630420,Remove the oral route from injectable prescription types,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1630438,"EPMA connection and network issues, Error: Cannot reach this Page.",Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1630462,Patients not appearing on Ascribe,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1630510,"I have forgeten my security word, please reset",Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1630631,System outage STAS522,Performance & Availability,Availability,Medium,Matched token 'outage' among multiple possible matches.,No
CS1630694,DSS on the web is not working,Notifications & Communications,Email,High,Matched token 'email' in text.,No
CS1630717,error,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1630737,EIE interface to CAMIS,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1630744,EMIS is running very slow,Performance & Availability,Performance,High,Matched token 'slow' in text.,No
CS1630831,MS SQL Server Management Studio on EMIS Pharmacy servers at CNWL,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1630846,drug chart not printing,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1630906,10.21 LIVE - Picking Tickets Defaulting to User Who is Off,Integration & Interfaces,Third-Party Systems,High,Matched token 'pic' in text.,No
CS1630950,Unable to access UAT,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1631003,Change report-time out error,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1631073,3 standalone machines have not updated,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1631088,Stock list not saving,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1631122,Unable to dispense,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1631145,case number CS1593294,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1631232,Berkshire Daily checks,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1631320,Dose scheduler issue,Access & Security,Audit & Compliance,Medium,Matched token 'audit' among multiple possible matches.,No
CS1631445,Salford Servers SRHTPHARMAPP and SRHTPHARMAPP2 are being decommisioned,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1631488,Merge patient hospital numbers,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1631752,Unable to administer (again),Performance & Availability,Availability,Medium,Matched token 'not available' among multiple possible matches.,No
CS1631770,[The job failed.] SQL Server Job System: 'EHSC_StandAlone',Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1631821,What is the URL of the standalone app?,Service Requests,Information Request,High,Matched token 'information' in text.,No
CS1631860,Unable to specify time when prescribing PRN,Integration & Interfaces,Third-Party Systems,Medium,Matched token 'pic' among multiple possible matches.,No
CS1631897,Berkshire Daily checks,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1632028,Inbound Message Queue has exceeded 100 messages,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1632043,files on the training system,User Guidance & Training,Training,High,Matched token 'training' in text.,No
CS1632076,PAS interface,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1632171,Chlorhexidine Label,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1632245,Removal of old batch tracking records,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1632301,Unable to zero losses and gains for a product with no stock,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1632320,Patient Merge,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1632648,Possible to have Show Closed Episodes ticked by default?,Configuration & Administration,System Administration,Medium,Matched token 'setting' among multiple possible matches.,No
CS1632659,Unable to load nurse orders for cardiology ward,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1632676,Drug Chart - Query,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1632708,Berkshire Daily checks,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1632719,Changeover of Trust PAS/EPR System,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1632990,New Asset - RJE002548,Integration & Interfaces,Third-Party Systems,High,Matched token 'robot' in text.,No
CS1633015,"forgotten my security word, can you please resend?",Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1633094,Delivery Note Setup,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1633220,Removal of Unused Terminal,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1633301,Extra labels and free format labels,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1633335,Nurse supply request stack trace error,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1633339,ADL092C - Stores drug description potentially contains extra line,Reporting & Analytics,Reporting,High,Matched token 'report' in text.,No
CS1633371,Label Types and Kind Value,Reporting & Analytics,Reporting,Medium,Matched token 'report' among multiple possible matches.,No
CS1633382,Unable to add warning code to a drug file,Access & Security,User Access,Medium,Matched token 'access' among multiple possible matches.,No
CS1633449,Berkshire Daily checks,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1633488,Add new PC,Integration & Interfaces,Third-Party Systems,High,Matched token 'robot' in text.,No
CS1633645,Refresh connection to TIE at ESHT,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1633649,Two discontinued meds won't disappear from drug chart,Defects & Errors,Error Messages,High,Matched token 'error' in text.,No
CS1633682,Quote for a dispensing label printer,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1633780,Nurse Admin Error,Access & Security,Audit & Compliance,Medium,Matched token 'audit' among multiple possible matches.,No
CS1633823,Potential locked invoices,Service Requests,New Request,High,Matched token 'request' in text.,No
CS1633854,System.Int32 error again,Access & Security,User Access,Medium,Matched token 'permission' among multiple possible matches.,No
CS1633859,Unable to edit patient details,Defects & Errors,Error Messages,High,Matched token 'error' in text.,No
CS1633930,Lorazepam regular locked,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1634062,[The job failed.] SQL Server Job System: 'EHSC_StandAlone',Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1634341,TEST Optum client active in ward,Case Administration,Closure Management,High,Matched token 'cancel' in text.,No
CS1634363,Not able to print picking tickets/delivery notes,Integration & Interfaces,Third-Party Systems,High,Matched token 'pic' in text.,No
CS1634376,Unable to change printer on a desktop terminal.,Performance & Availability,Performance,Medium,Matched token 'hang' among multiple possible matches.,No
CS1634393,Berkshire Daily checks,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
CS1634405,Invoice passed not exported to genfin. Possible stuck in exception?,Defects & Errors,Error Messages,Medium,Matched token 'exception' among multiple possible matches.,No
CS1634451,Request to remove patient data from the UAT environment.,Integration & Interfaces,Integration Failure,Medium,Matched token 'interface' among multiple possible matches.,No
CS1634478,In reference to CS1632245,Unclassified,Needs Review,Low,No strong keyword match in short description/description/close notes.,Yes
CS1634601,Oncall- Reset Password,Access & Security,Authentication,Medium,Matched token 'password' among multiple possible matches.,No
CS1634612,Berkshire Daily check,Integration & Interfaces,Integration Failure,Medium,Matched token 'interface' among multiple possible matches.,No
CS1634639,Oncall - Nurse supply request error,Performance & Availability,Availability,Medium,Matched token 'down' among multiple possible matches.,No
CS1634646,Berkshire daily checks,Integration & Interfaces,Integration Failure,High,Matched token 'interface' in text.,No
