Case Number,Short Description Summary,Trend Category,Sub-Category,Confidence,Reasoning,Manual Review Required
CS1623082,Adding a comment,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1623138,Reports for G83065 stuck in 'sent' status,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1623689,Radiology Status Update failure for patient 0393932,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1623977,Requests are not flowing from Live TQuest to Telepath,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1624112,Review went down on Friday on today,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1624139,Reports matching to wrong patient,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1624298,Keystone server running at 91% memory randomly,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1624327,Keystone schedules not responding,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1624422,Keystone PMIP8 pick up from LIMS Process Understanding Query,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1624936,Urgent- Inbox Issue,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1625619,"Copy to Me - Review, two pop ups seen",Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1625850,Radiology  Specification,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1626718,Radiology  Specification,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1626782,REVIEW01WEB-P2 - D:> Drive space warning,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1626868,Files stuck as 'Sent' (rather than Sending),Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1626876,A report (request ) is being sent out 15000 a day,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1627421,More Errors and Failed Reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1627440,Tabs loading when attempting to ammend orderables,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1628093,Files stuck as 'Sent' (rather than Sending),Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1628383,No access to Optum Review after Intranet changes,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1628575,Patient name change not updating in Review,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1628812,More Errors and Failed reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1628900,Review - Service Available,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1629022,Request for Out-of-Hours Support – Server Migration (STG1OCTQUEST01 & STG1EMISSQ,Configuration & Administration,Master Data,High,"Case involves master reference data, order set configuration, test catalogues, or ward lookups.",No
CS1629067,Results  status is SENT for Queens Crescent,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1629708,Results not being sent back,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1629766,Elf Test results failing to file at GP Practices,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1629789,RADIOLOGY and PATHOLOGY feed in a sending state,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1629873,Review unavailable,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1630060,Issue with Optum CDS Translation Service Arrived notification email,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1630405,More Errors and Failed Reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1630473,Reports stuck in 'sent' status,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1630477,Test Tquest server Multiport talker keeps stopping,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1630630,Printing issue post Windows 11 upgrade,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1630712,No Lab reports are coming through Keystone this has been happening since the ...,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1631042,All reports from all surgeries stuck in sent/sending since about 2am  09/08/25,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1631392,BitVise Authentication,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1631537,Duplicate interchange ID error with GP Partner,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1632164,More Errors and Failed Reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1632246,tQuest - Unable to edit orderable,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1632279,Patient merge required,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1632297,Test review system - not imported HL7 results,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1632341,Access to Keystone servers for Arfan Mohammad,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1632876,Missing dat files in archive folder,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1632938,Re: Access to Keystone servers for Arfan Mohammad,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1632957,Re: Access to Keystone servers for Arfan Mohammad,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1633003,Keystone patient matching criteria (minimum data set required),Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1633356,Viking server operating system going out of support,Configuration & Administration,Master Data,High,"Case involves master reference data, order set configuration, test catalogues, or ward lookups.",No
CS1633991,Reports for Lewisham Care Partnership (G85038) are stuck in 'sent' status.,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1634184,Review results feed stopped at 20:41 14/08/2025 (yesterday),Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1634205,CDS  VALIDATEONLY,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1634253,Delay in results appearing in Review,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1634299,Re: Access to Keystone servers for Arfan Mohammad,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1634304,Re: Access to Keystone servers for Arfan Mohammad,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1634417,Re: Access to Keystone servers for Arfan Mohammad,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1634418,Report not recieved to GP,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1634431,Reports for Thamesmead Health Centre (Y02974) are stuck in 'sent' status,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1635333,Errors and Failed Reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1635693,Results not going to requestors inbox,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1636203,Delay in results appearing in Review,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1636360,Not been receiving GP orders since yesterday,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1636445,Keystone Password,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1636635,Delays in results processing in Keystone,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1636648,Keystone reports stuck,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1637063,Change of password for mismatch email relay,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1637719,Reports for Brockwell Park Surgery (G85137) are stuck in 'sent' status,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1637755,"Keystone error message this am ""data access error sql failed with error""",Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1637965,User Guides when setting up new services on TQUEST,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1638374,Review Path & Rad for Tameside backlog of 4952 files,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1638989,More Errors and Failed Reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1639026,Server name/IP to pass to ICT,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1639636,Reports for Burney Street Practice (G83065) stuck in 'sent' status,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1639773,No Activity,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1640045,We are still having issue with TQUEST ordering in UAT,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1640112,Record Query,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1640852,Tabs loading when attempting to change an orderable in UAT tQuest,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1641020,Unable to access tQuest for patient,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1641527,Keystone error - Unable to restore a connection to the Keystone database.,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1641756,Issue with Fairhill EMIS,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1642426,Review Synonym Picking up incorrect exams,Data Management,Data Recovery,High,"Case involves record restoration, deleted data recovery, or record merging.",No
CS1642632,Reports,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1642896,Reports not sent to GP's since 13:40 yesterday,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1642906,15 Digit EDI Sender Code,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1642993,Reports for two surgeries stuck in 'sent' status,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1643032,Keystone - Unable to login FOXISAPI call failed,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1643816,Pathology reports not going to GPs,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1644527,Not validated result,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1644534,More Errors and Failed reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1644596,Review results opening slowly,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1644784,Cannot access Keystone and Review - unable to get past login screens for both.,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1644825,details of all Review users,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1645190,Report not reached GP,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1645276,Not validated,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1645462,Results uploaded to wrong patient,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1645772,BitVise public keys,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1646144,More Errors and Failed reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1647478,Space low on f$ database server BCFHVM20-135,Data Management,Data Correction,High,"Case involves database scripts, data corrections, patient record unlinking, or manual data fixes.",No
CS1647682,Increase the memory for Indigo 4 Discharge Standard  1.0.50,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1647760,Advice on NHS England Cyber Security Alert,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1647984,Re: Access to Keystone servers for Arfan Mohammad,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1648034,Re: Access to Keystone servers for Arfan Mohammad,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1648269,Re: Access to Keystone servers for Arfan Mohammad,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1648945,Glossary of events and warnings from our Keystone system,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1648954,Is there a PowerShell script for the suspect folder for UHL system,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1648971,Keystone failing validation when result has unit µmol/L,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1649027,Can you provide a Keystone User Guide for new Users to track a pathology Order,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1649113,More Errors and Failed Reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1649140,Bitvise User Configuration  - User,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1649247,EMIS report sending issue,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1649294,Keystone Rejection for Histopathology - 08/09,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1649354,Advice about missing button on users profile,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1649498,Cancelled test with comment showing in Keystone but not seen by GP,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1650361,Review Synonym Picking up incorrect exams,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1650912,Submission failure notices not being received,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1651334,tQuest Non-live,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1651360,Application running very slow,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1651419,No GP Pathology requests to Trust Integration since 05:26 17/09/25,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1651451,Reports for 3 surgeries stuck in 'sent' since Friday,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1651768,Churchmere Medical Group,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1652032,Internal Tquest results not reaching TIE or Winpath,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1652254,Reports Stuck in ‘Sent’ Status – Request for Resolution,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1652456,Tquest to cris interface stopped working at 13:31pm,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1652531,Server Remediation,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1652678,SNOMED Code Transmission to EMIS Web App,Access & Security,Authentication,High,"Case relates to user authentication, password reset, SSO, or certificate management.",No
CS1652703,Tquest to Winpath no messages flowing from 16:21,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1652758,More Errors and Failed Reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1652770,"Review Page is not loading ,it went around 1:35 amon 19/09/2025",Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1652818,Duplicate Interchanges,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1653081,Fatal error due to odd character,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1653263,Unable to add new IP ranges to Walsgrave Health Centre (M86040),Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1653392,Review Application is down (call reported at 1:35),Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1653536,Housekeeping error in monitor,Configuration & Administration,Master Data,High,"Case involves master reference data, order set configuration, test catalogues, or ward lookups.",No
CS1653669,Keystone Winpath Translation queuing 1662 files.,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1653836,"Review is down ,page is not loading  ,secondary care",Performance & Availability,Availability,High,"Case reports application outage, site-wide failure, or service unavailability.",No
CS1653840,Tquest is very slow - Internal error 500,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1653858,Synonyms in Review,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1654482,"Tquest to LIMS interface failed @18:37pm ,please can you look in to this urgent",Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1654802,CDS Translation - Bitvise Client Install,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1655055,Missing discharge letter,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1655275,Stop of services,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1655451,IP CDS file not at SUS,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1655487,Urgent – TQuest Issues at Manor Drive Medical Centre,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1655710,We have observed that the PDF export functionality has not been working on revar,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
CS1655911,LIVE tQuest to LIMS interface is down again.,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1656843,review is down @1:25am,Service Requests,New Request,Medium,"Case represents a service request for creation, test setup, or system updates.",No
CS1656848,This run finished due toerror 1705 in method,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1657097,More Errors and Failed Reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1657128,The radiology requests are without the vital eGFR scores typically embedded,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1658052,The Live Review application not responding for all users,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1658056,The Live Review application not responding,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1658061,The Live Review application not responding,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1658070,Live Review application down for all users,Performance & Availability,Performance,High,"Case reports application slowness, response lag, UI freezing, or spinning wheel.",No
CS1658071,More Errors and Failed reports,Integration & Interfaces,Third-Party Systems,High,Case involves external NHS services (SCR/TIE/TRUD/ODS) or third-party lab/vendor systems.,No
CS1658101,Live tQuest to Winpath interface down,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1658887,Review Archive 4 - Services turned off,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1658894,Review Archive 1 - Error Log,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1658899,Review Archive 2 - Error Log,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1658903,Review Archive 3 - Error Log,Reporting & Analytics,Reporting,High,"Case involves SSRS report generation, custom reports, or data extraction.",No
CS1658910,Review Archive 4 - Error Log,Configuration & Administration,Configuration Change,High,"Case involves specimen/label printing, printer configuration, forms, or templates.",No
CS1659005,tQuest to Winpath interface,Integration & Interfaces,Integration Failure,High,"Case relates to HL7 messaging, lab/pathology interop feeds, or order communications interface failures.",No
CS1659117,I would like to access an Audit Trail to see who has added a user to TQuest.,Access & Security,Audit & Compliance,High,"Case involves Information Governance, record access audit, or viewing history request.",No
CS1659534,test emis system,Notifications & Communications,Email,High,"Case involves email notification delivery, content, or recipient issues.",No
